Id,Prediction
0,4043542.57409319
1,3658069.91315208
2,3957776.68312161
3,3916839.38977359
4,3941698.89284899
5,3758583.16880899
6,3710515.4265363
7,4116678.54074866
8,4474372.75787572
9,2925732.59338885
10,4169509.11234353
11,3664659.17625658
12,4125784.75519655
13,4842272.31340255
14,3699696.43009695
15,4567005.90669015
16,5463065.97024796
17,3483505.63067027
18,4450691.6292753
19,3882324.52774285
20,3326413.97151388
21,3715781.97158549
22,3923672.46498781
23,3909261.64419537
24,5572733.00474841
25,3719759.4777185
26,3366055.02210139
27,4262498.64788418
28,3754226.69925686
29,4735219.14520639
30,4676591.70629046
31,3904643.84358508
32,3702530.52101507
33,4252736.244857
34,3747801.62623984
35,3986126.89934601
36,3873529.01338842
37,3939841.77872855
38,3372116.06854435
39,4053581.90539408
40,4834831.95599755
41,4321170.82731344
42,3781618.90258121
43,3899140.07736781
44,4293486.28558061
45,3644580.99746197
46,3811616.34469785
47,3335044.72142885
48,5148162.57137675
49,4790736.07773303
50,4450537.16473916
51,4656514.49315369
52,3759576.31269416
53,3611852.06033378
54,3562086.6302847
55,3888227.62553247
56,4160112.40663837
57,4535444.18717636
58,3709388.88654365
59,4314012.00058511
60,3626150.27586262
61,3629740.65519115
62,4688542.495873
63,4111430.94797288
64,4261749.83524476
65,4077439.81549707
66,3678132.81200259
67,4950777.53592488
68,5302558.57667183
69,3980390.41819855
70,3989882.00147276
71,3973908.93528053
72,4219196.498318
73,3571200.01657666
74,4200756.27210149
75,3945220.00302922
76,4028181.075185
77,4122943.38681594
78,4282403.77805409
79,4081639.67300482
80,4104904.27592947
81,3734643.45220934
82,4353222.66596943
83,3644511.34727945
84,4393365.78019679
85,3372374.38238399
86,4113455.62651464
87,3825038.36629655
88,4099443.5683331
89,5634017.72469555
90,4051336.70628103
91,4134187.13771796
92,3551786.83214403
93,4753361.19566641
94,3734676.95071296
95,4145312.08825326
96,3996961.04251715
97,3812893.60672163
98,3836693.95348276
99,4207983.22102366
100,3482523.86956759
101,3395396.62397042
102,3757565.23976695
103,3467141.03688947
104,3465316.27440493
105,3384964.02383999
106,4085286.42784445
107,3466184.91307551
108,3859351.89769076
109,4001122.27025377
110,5448489.37231132
111,6340929.422021
112,4522389.71503106
113,3819896.21613926
114,3966350.3323321
115,4610797.37434102
116,3866597.51548499
117,4887305.68570263
118,3848207.66776391
119,3782208.16496449
120,4430106.95651518
121,4172442.86006171
122,3864717.56305942
123,4814126.43958363
124,3811239.49553578
125,3890448.43393749
126,3988253.02146574
127,3429577.24955043
128,2975742.07529352
129,4169049.18147902
130,3559246.0628106
131,4899081.57621053
132,3994547.92605581
133,3003701.71647112
134,4209574.36585068
135,3843710.32075318
136,4312531.0850886
137,3742878.90306805
138,5063645.46670644
139,3880543.96355
140,4722079.39467399
141,3526076.81710177
142,4051882.82365891
143,3664760.84649527
144,3786044.70780906
145,2980454.21874692
146,3912907.78257125
147,3650840.9500181
148,4328939.86669912
149,4316841.48158909
150,3741488.14165772
151,3506158.88429461
152,4038942.43785936
153,4158829.86445014
154,3479806.70755662
155,4242479.5624966
156,4017151.69741146
157,4379995.74489587
158,4406438.04222246
159,3648254.23391124
160,3871034.95761484
161,4082987.53484349
162,3440619.0117933
163,4147702.17710474
164,4281815.04975442
165,3615359.17718117
166,4132297.81538269
167,3882385.56201136
168,3546008.23132266
169,4533570.14651639
170,3728292.54714284
171,3725214.46788331
172,3890078.36077422
173,3677278.09258574
174,3903161.02632272
175,3730118.20381648
176,4001395.64585211
177,4041130.92740255
178,4045540.89528489
179,3961548.4589092
180,3775088.42495091
181,3750392.74009981
182,3855662.11511057
183,4431304.85947239
184,4278203.65283792
185,3495337.70443063
186,3467057.77402276
187,4736267.0003671
188,4226728.93349593
189,3960768.97401637
190,4770589.01942736
191,4617234.16907694
192,4275901.75205244
193,4047112.15753939
194,3678714.77995411
195,3881237.69660362
196,4755972.77251814
197,3540874.80378233
198,3956894.0984433
199,3786789.5515285
200,4309761.61617538
201,3763286.20437765
202,3705501.55509421
203,4176276.68954158
204,4148438.78426757
205,3573304.07017401
206,3179843.0247789
207,3197068.43446924
208,3901951.11005707
209,3643584.07125564
210,5021117.39191797
211,3753311.27785872
212,3568689.19173933
213,4088852.62435889
214,3991961.27944354
215,3279606.22196019
216,4334904.35039784
217,3893026.44898599
218,3969645.07093663
219,3457455.57807705
220,3791566.03387388
221,4129435.57997446
222,4336574.23640574
223,3727996.97708252
224,3875639.17426538
225,4966600.99583117
226,3937305.20275372
227,4274605.52314375
228,3719389.45572325
229,6214873.80328219
230,4227720.24118051
231,4803096.24454125
232,4624527.77151841
233,3982127.89004863
234,3677286.77548103
235,4228242.72450673
236,3991315.63039325
237,3585100.90743774
238,4033337.35402951
239,3942612.09229647
240,4127281.96842412
241,3511922.17804883
242,3600213.57221948
243,5741717.41599968
244,4012708.63112475
245,4159261.86358816
246,3738581.36821713
247,4010658.7261552
248,3445041.54948436
249,3758432.21783367
250,3279096.94794582
251,4565768.51452855
252,4614906.15293761
253,3312951.72381017
254,4063995.22054419
255,3752267.25184587
256,3721444.03166985
257,3638921.64234713
258,3470221.08005503
259,3696266.77816833
260,3733999.35007693
261,4507424.85581705
262,4730788.87188203
263,3523580.94915446
264,3432276.75133577
265,4240755.42450143
266,4106985.26795888
267,4090105.68505134
268,4609328.1931457
269,3759937.18281243
270,3875823.11161022
271,3568677.78932643
272,4398405.13544511
273,4281350.25744989
274,3689227.79263666
275,4531080.24742762
276,4808664.52249853
277,3807473.14090527
278,3786477.00256877
279,4208904.42072439
280,3928483.58671553
281,3792756.33943707
282,3817658.84064533
283,3799643.97096369
284,3958266.79368622
285,3182762.43858353
286,4726804.64897367
287,2870219.45424913
288,4262098.26782915
289,3800871.89306773
290,4059862.84734001
291,4248739.99471465
292,3898533.27799381
293,4195341.46119194
294,3318781.28280326
295,4540576.473031
296,3758383.13180263
297,4164508.46941302
298,3575441.24460972
299,4316782.73433419
300,3698296.49540174
301,4240400.13377124
302,4008431.42273531
303,3724051.69455458
304,3887243.19003306
305,4393840.36795891
306,3580192.66960485
307,3677091.75513322
308,3349758.28596618
309,3632646.83588122
310,3767273.07003847
311,3436660.69429923
312,3662620.41973492
313,3347088.35123607
314,2960377.54250203
315,4358852.05190506
316,3751766.82618426
317,3872258.05739059
318,5276360.63696023
319,4308596.54446275
320,4626620.35622166
321,3507057.09079037
322,3826228.16400343
323,4230114.29286975
324,3975966.10833566
325,4054710.23167743
326,4403092.28821964
327,4253271.78724706
328,3691814.37073063
329,5439394.56791188
330,3925368.0472121
331,4584304.7575313
332,4262775.7940632
333,4821990.12736402
334,5020692.57878826
335,4145210.06448489
336,3186873.15708352
337,4074789.79301987
338,3714784.48404293
339,3945794.95362851
340,4448064.58873653
341,3627086.89867947
342,6006421.71819828
343,3453430.99754413
344,3524149.06787065
345,3632553.08959907
346,4384675.66540547
347,4041971.81597178
348,3594927.07966788
349,4023243.70179364
350,3827479.62496257
351,3894335.75310567
352,4191420.16338799
353,4308206.48811602
354,4063143.24945452
355,4592986.47598424
356,4490516.57932683
357,4235176.40101325
358,4681278.49879131
359,4140206.57783854
360,4169049.18147902
361,3898036.24729691
362,3700572.92118844
363,4020061.59434561
364,3978725.58402221
365,4309856.92165485
366,3322295.68871489
367,3214474.51541271
368,3399517.32824589
369,4107590.59231717
370,3816565.35758415
371,4184384.50946112
372,3457480.19331072
373,4885964.89104731
374,4064513.59688438
375,3861867.50134189
376,3411391.58905496
377,3936025.24711314
378,4743630.70039686
379,3957555.42559912
380,3833542.81785945
381,3512148.17511245
382,3987534.86456329
383,3524105.37815575
384,4250577.9743363
385,4090803.46468247
386,4195198.19312571
387,4784892.9429668
388,4157978.12986438
389,4837562.75935549
390,3958744.62365685
391,4387781.37302697
